Market,Question,Duration,Side,Entry,Outcome,Won,P/L,Edge,Trades,Resolved At
MKT-77ED4E,"Solana Up or Down - April 11, 6:30AM-6:45AM ET",15,DOWN,0.7500,DOWN,Y,0.4138,75.0,,2026-04-11T10:50:27.009197Z
MKT-2D8C77,"Ethereum Up or Down - April 11, 6:30AM-6:45AM ET",15,DOWN,0.7900,DOWN,Y,0.3310,78.9,,2026-04-11T10:50:16.475757Z
MKT-B72E02,"Bitcoin Up or Down - April 11, 6:30AM-6:45AM ET",15,DOWN,0.8900,DOWN,Y,0.1570,89.0,,2026-04-11T10:50:05.895687Z
MKT-A044B8,"XRP Up or Down - April 11, 6:30AM-6:45AM ET",15,DOWN,0.8100,DOWN,Y,0.2872,81.0,,2026-04-11T10:49:55.211964Z
MKT-184C2B,"Solana Up or Down - April 11, 6:15AM-6:30AM ET",15,DOWN,0.7600,UP,N,-1.2348,72.6,,2026-04-11T10:36:10.724992Z
MKT-E394D2,"XRP Up or Down - April 11, 6:15AM-6:30AM ET",15,UP,0.5500,UP,Y,0.5789,22.7,,2026-04-11T10:36:00.297976Z
MKT-3415C3,"Ethereum Up or Down - April 11, 6:15AM-6:30AM ET",15,UP,0.6100,UP,Y,0.3414,14.5,,2026-04-11T10:35:28.891078Z
MKT-E0DAF6,"Bitcoin Up or Down - April 11, 6:15AM-6:30AM ET",15,UP,0.4400,UP,Y,0.9242,27.1,,2026-04-11T10:35:28.856995Z
MKT-F22512,"Bitcoin Up or Down - April 11, 6:00AM-6:15AM ET",15,UP,0.4800,DOWN,N,-0.6343,20.2,,2026-04-11T10:21:03.981991Z
MKT-5500A0,"Ethereum Up or Down - April 11, 6:00AM-6:15AM ET",15,UP,0.6400,DOWN,N,-1.0679,23.6,,2026-04-11T10:20:42.972037Z
MKT-716BA8,"XRP Up or Down - April 11, 6:00AM-6:15AM ET",15,UP,0.4800,DOWN,N,-1.5693,52.0,,2026-04-11T10:20:00.791910Z
MKT-59CD92,"Solana Up or Down - April 11, 6:00AM-6:15AM ET",15,DOWN,0.4300,DOWN,Y,1.4797,26.1,,2026-04-11T10:20:00.762874Z
MKT-2A540E,"Bitcoin Up or Down - April 11, 5:45AM-6:00AM ET",15,UP,0.4800,UP,Y,1.9016,51.6,,2026-04-11T10:05:14.464107Z
MKT-7E214C,"Ethereum Up or Down - April 11, 5:30AM-5:45AM ET",15,DOWN,0.6900,DOWN,Y,0.5539,67.9,,2026-04-11T09:50:46.687264Z
MKT-465166,"Bitcoin Up or Down - April 11, 5:30AM-5:45AM ET",15,DOWN,0.6600,DOWN,Y,0.6403,65.0,,2026-04-11T09:50:25.729366Z
MKT-9CB727,"Solana Up or Down - April 11, 5:30AM-5:45AM ET",15,DOWN,0.4800,DOWN,Y,0.9102,31.4,,2026-04-11T09:50:04.501605Z
MKT-B45565,"XRP Up or Down - April 11, 5:15AM-5:30AM ET",15,DOWN,0.1200,UP,N,-0.4444,49.0,,2026-04-11T09:35:24.434193Z
MKT-93CC2D,"Solana Up or Down - April 11, 5:00AM-5:15AM ET",15,UP,0.6900,UP,Y,0.4979,23.3,,2026-04-11T09:20:25.551123Z
MKT-52288E,"Bitcoin Up or Down - April 11, 5:00AM-5:15AM ET",15,DOWN,0.4700,UP,N,-0.6644,17.4,,2026-04-11T09:20:25.500346Z
MKT-9C5B2D,"XRP Up or Down - April 11, 5:00AM-5:15AM ET",15,UP,0.5400,DOWN,N,-0.7278,23.4,,2026-04-11T09:19:53.803379Z
MKT-0F1670,"Ethereum Up or Down - April 11, 5:00AM-5:15AM ET",15,DOWN,0.3700,UP,N,-1.3198,31.6,,2026-04-11T09:19:53.771107Z
MKT-2DF62C,"Bitcoin Up or Down - April 11, 4:45AM-5:00AM ET",15,DOWN,0.5000,DOWN,Y,1.2700,36.0,,2026-04-11T09:05:59.507761Z
MKT-0ABC28,"Bitcoin Up or Down - April 11, 4:30AM-4:45AM ET",15,DOWN,0.7900,DOWN,Y,0.3144,77.3,,2026-04-11T08:50:41.007891Z
MKT-5F0D4B,"Solana Up or Down - April 11, 4:30AM-4:45AM ET",15,UP,0.5500,UP,Y,0.7381,33.0,,2026-04-11T08:50:19.924470Z
MKT-5D21C3,"XRP Up or Down - April 11, 4:30AM-4:45AM ET",15,DOWN,0.6100,DOWN,Y,0.7052,60.8,,2026-04-11T08:50:19.898041Z
MKT-7CB4C3,"Ethereum Up or Down - April 11, 4:30AM-4:45AM ET",15,DOWN,0.7100,UP,N,-1.2320,70.1,,2026-04-11T08:50:19.868080Z
MKT-8224C9,"Bitcoin Up or Down - April 11, 4:35AM-4:40AM ET",5,UP,0.6100,DOWN,N,-1.1782,34.2,,2026-04-11T08:44:13.219189Z
MKT-8F7118,"Solana Up or Down - April 11, 4:15AM-4:30AM ET",15,DOWN,0.4600,DOWN,Y,0.6374,11.7,,2026-04-11T08:35:43.193721Z
MKT-B36752,"Bitcoin Up or Down - April 11, 4:15AM-4:30AM ET",15,DOWN,0.4800,DOWN,Y,1.3888,39.7,,2026-04-11T08:35:11.713103Z
MKT-DDEF98,"XRP Up or Down - April 11, 4:15AM-4:30AM ET",15,DOWN,0.6600,DOWN,Y,0.3335,47.2,,2026-04-11T08:35:01.047115Z
MKT-C169D4,"Ethereum Up or Down - April 11, 4:15AM-4:30AM ET",15,UP,0.5300,DOWN,N,-1.4063,43.9,,2026-04-11T08:34:50.343631Z
MKT-4A2A74,"XRP Up or Down - April 11, 4:00AM-4:15AM ET",15,DOWN,0.6200,UP,N,-1.0658,52.1,,2026-04-11T08:20:35.691429Z
MKT-3AC609,"Ethereum Up or Down - April 11, 4:00AM-4:15AM ET",15,UP,0.4500,UP,Y,1.5555,48.0,,2026-04-11T08:20:25.307797Z
MKT-BB6E55,"Solana Up or Down - April 11, 4:00AM-4:15AM ET",15,UP,0.5500,UP,Y,0.3743,17.9,,2026-04-11T08:20:14.701132Z
MKT-68716A,"Bitcoin Up or Down - April 11, 4:00AM-4:15AM ET",15,UP,0.4200,UP,Y,1.9858,57.5,,2026-04-11T08:20:04.121313Z
MKT-6DF643,"Solana Up or Down - April 11, 3:45AM-4:00AM ET",15,UP,0.4900,UP,Y,0.8091,25.6,,2026-04-11T08:05:50.339332Z
MKT-631D50,"Bitcoin Up or Down - April 11, 3:45AM-4:00AM ET",15,DOWN,0.5600,UP,N,-1.0866,41.6,,2026-04-11T08:05:50.292895Z
MKT-8B543D,"XRP Up or Down - April 11, 3:45AM-4:00AM ET",15,DOWN,0.5900,DOWN,Y,0.7132,45.5,,2026-04-11T08:05:29.192850Z
MKT-534AFF,"Ethereum Up or Down - April 11, 3:45AM-4:00AM ET",15,DOWN,0.5700,UP,N,-0.9802,40.7,,2026-04-11T08:05:29.168286Z
MKT-3A2505,"Solana Up or Down - April 11, 3:30AM-3:45AM ET",15,UP,0.5200,DOWN,N,-0.9533,25.7,,2026-04-11T07:50:42.932621Z
MKT-94A958,"Ethereum Up or Down - April 11, 3:30AM-3:45AM ET",15,UP,0.4200,DOWN,N,-1.2650,40.1,,2026-04-11T07:50:10.325293Z
MKT-2BCF60,"Bitcoin Up or Down - April 11, 3:30AM-3:45AM ET",15,DOWN,0.5500,DOWN,Y,1.5036,55.0,,2026-04-11T07:50:10.265476Z
MKT-7A1127,"Ethereum Up or Down - April 11, 3:15AM-3:30AM ET",15,DOWN,0.5200,UP,N,-2.2149,47.0,,2026-04-11T07:35:44.948578Z
MKT-CB8F92,"Bitcoin Up or Down - April 11, 3:15AM-3:30AM ET",15,DOWN,0.3600,UP,N,-2.4643,35.9,,2026-04-11T07:35:34.335355Z
MKT-E33A68,"Ethereum Up or Down - April 11, 3:20AM-3:25AM ET",5,UP,0.5300,UP,Y,1.7540,46.2,,2026-04-11T07:29:46.545076Z
MKT-4F14DB,"Bitcoin Up or Down - April 11, 3:20AM-3:25AM ET",5,DOWN,0.4900,UP,N,-0.4200,8.6,,2026-04-11T07:28:54.934286Z
MKT-C0B7D1,"Ethereum Up or Down - April 11, 3:15AM-3:20AM ET",5,DOWN,0.4300,DOWN,Y,2.4310,28.6,,2026-04-11T07:23:43.855027Z
MKT-621B9C,"Bitcoin Up or Down - April 11, 3:15AM-3:20AM ET",5,UP,0.6000,DOWN,N,-2.4599,40.0,,2026-04-11T07:23:22.870363Z
