entry_ts,entry_close,side,confidence,stake,market_slug,fill_price,edge,kelly_f,shares,close_position,body_signed,direction,volume_z,range_z,streak,resolve_ts,resolve_close,result,pnl,resolution_source
1776423300,75311.26,UP,0.5,5.0,btc-updown-5m-1776423600,0.41,0.09,0.152542,12.195122,0.5,0.0,0,0.0,0.0,0,1776423900,75355.01,WIN,7.1951,coindesk_fallback
1776424500,75342.01,UP,0.5,5.0,btc-updown-5m-1776424800,0.43,0.07,0.122807,11.627907,0.5,0.0,0,0.0,0.0,0,1776424800,75446.26,WIN,6.6279,coindesk_fallback
1776424800,75446.26,DOWN,0.5,5.0,btc-updown-5m-1776425100,0.39,0.11,0.180328,12.820513,0.5,0.0,0,0.0,0.0,0,1776425702,,LOSS,-5.0,polymarket
1776425400,75494.03,UP,0.5,3.5377,btc-updown-5m-1776425700,0.47,0.03,0.056604,7.527098,0.5,0.0,0,0.0,0.0,0,1776425700,75581.05,WIN,3.9894,coindesk_fallback
1776426600,75507.09,UP,0.5,5.0,btc-updown-5m-1776426900,0.4,0.1,0.166667,12.5,0.5,0.0,0,0.0,0.0,0,1776427200,75622.58,WIN,7.5,coindesk_fallback
1776427500,75612.39,UP,0.5,4.6296,btc-updown-5m-1776427800,0.46,0.04,0.074074,10.064412,0.5,0.0,0,0.0,0.0,0,1776427800,75648.57,WIN,5.4348,coindesk_fallback
1776428100,75714.26,UP,0.5,3.5377,btc-updown-5m-1776428400,0.47,0.03,0.056604,7.527098,0.5,0.0,0,0.0,0.0,0,1776428700,75804.01,WIN,3.9894,coindesk_fallback
1776428700,75804.01,DOWN,0.5,3.5377,btc-updown-5m-1776429000,0.47,0.03,0.056604,7.527098,0.5,0.0,0,0.0,0.0,0,1776429000,75807.03,LOSS,-3.5377,coindesk_fallback
1776429000,75807.03,UP,0.5,3.5377,btc-updown-5m-1776429300,0.47,0.03,0.056604,7.527098,0.5,0.0,0,0.0,0.0,0,1776429300,75836.26,WIN,3.9894,coindesk_fallback
1776429300,75836.26,DOWN,0.5,4.6296,btc-updown-5m-1776429600,0.46,0.04,0.074074,10.064412,0.5,0.0,0,0.0,0.0,0,1776429900,75778.01,WIN,5.4348,coindesk_fallback
