timestamp,market,slug,outcome,outcome_index,amount,price,won,pnl,winning_outcome,winning_index,condition_id,token_id
2026-02-24T03:25:12.591578+00:00,"XRP Up or Down - February 23, 10:15PM-10:30PM ET",xrp-updown-15m-1771902900,Up,0,2.0,0.07000001878791637,NO,-2.0,,,0x6103a62cde1965c0163f49206261034e2e546e2da44eeffafebeeb29dc467d37,77173989653232434534823493859510309161953079708171868903933261786253897664706
2026-02-24T03:25:53.158168+00:00,"Ethereum Up or Down - February 23, 10:25PM-10:30PM",eth-updown-5m-1771903500,Up,0,2.0,0.5282268257016841,NO,-2.0,,,0x64787d51835565aaddf9314feb839e6719b01d08f3d4a62c502d154f9251b4e7,22810143987974608794873445518386782894270600934678150150832559164574592406159
2026-02-24T03:25:53.163180+00:00,"Ethereum Up or Down - February 23, 10:25PM-10:30PM",eth-updown-5m-1771903500,Up,0,2.0,0.4875890882280659,NO,-2.0,,,0x64787d51835565aaddf9314feb839e6719b01d08f3d4a62c502d154f9251b4e7,22810143987974608794873445518386782894270600934678150150832559164574592406159
2026-02-24T03:25:53.166994+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.6431560844986054,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:25:53.170959+00:00,"Solana Up or Down - February 23, 10:15PM-10:30PM E",sol-updown-15m-1771902900,Down,1,2.0,0.3955944135346883,NO,-2.0,,,0x1d044a7b17eb5003846bf8f2fbb578bd0c9ada78de694bf48eba8f74c35ad94b,93607987383723658372995639375109596203312491439941620404852405345297199842070
2026-02-24T03:26:17.923973+00:00,"Solana Up or Down - February 23, 10:15PM-10:30PM E",sol-updown-15m-1771902900,Down,1,2.0,0.5688032941369008,NO,-2.0,,,0x1d044a7b17eb5003846bf8f2fbb578bd0c9ada78de694bf48eba8f74c35ad94b,93607987383723658372995639375109596203312491439941620404852405345297199842070
2026-02-24T03:26:17.927136+00:00,"Ethereum Up or Down - February 23, 10:15PM-10:30PM",eth-updown-15m-1771902900,Up,0,2.0,0.5180820804550995,NO,-2.0,,,0x1988833c3a30cd4d2fe03b915a569ce26cef77428382871d4f2c63f933ba6ded,10729856334159857428797456660348020291129810330847426238254590366504460656111
2026-02-24T03:26:17.930551+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.6585202387817766,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
2026-02-24T03:26:17.939305+00:00,"Solana Up or Down - February 23, 10:15PM-10:30PM E",sol-updown-15m-1771902900,Down,1,2.0,0.5032902356747297,NO,-2.0,,,0x1d044a7b17eb5003846bf8f2fbb578bd0c9ada78de694bf48eba8f74c35ad94b,93607987383723658372995639375109596203312491439941620404852405345297199842070
2026-02-24T03:26:17.945745+00:00,"Bitcoin Up or Down - February 23, 10:25PM-10:30PM ",btc-updown-5m-1771903500,Down,1,2.0,0.616212245302168,NO,-2.0,,,0x378b7e01a8782eee997a5489148ae022eed1d597eebcd2a8bd5b50d15acf8548,113312659337879699110009965173164239202143855905483148873866984395462991996069
