ts,close,next_close,close_position,body_signed,volume_z,range_z,streak,p_up,side,regime,confidence,stake,actual,result,pnl,equity
1774404900,70556.74,70659.7,0.554543,-0.1372,-0.2424,-0.7306,-7,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,290.0
1774405800,70659.7,70496.9,0.720321,0.409612,-0.9108,0.0824,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,290.0
1774406700,70496.9,70459.35,0.152105,-0.639862,-0.9202,0.1771,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,289.0
1774407600,70459.35,70496.01,0.475266,-0.23075,-0.7094,-0.7604,-2,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,290.0
1774408500,70496.01,70719.98,0.87657,0.231337,-0.5021,-0.7249,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,290.0
1774409400,70719.98,70683.1,0.814466,0.814466,-0.5255,0.6128,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,290.0
1774410300,70683.1,70812.01,0.084205,-0.364067,-0.5899,-1.3067,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,291.0
1774411200,70812.01,70834.13,0.710726,0.602721,-0.5231,-0.0692,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,291.0
1774412100,70834.13,70737.83,0.471144,0.1112,-0.0471,-0.1708,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,291.0
1774413000,70737.83,70944.06,0.248832,-0.633594,-0.7672,-0.6494,-1,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,292.0
1774413900,70944.06,71209.68,0.967622,0.8163,-1.1385,0.4626,1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,292.0
1774414800,71209.68,71168.0,0.731548,0.642168,2.3467,2.1728,2,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,292.0
1774415700,71168.0,71198.01,0.640978,-0.239885,-0.0144,-0.4894,-1,0.5,SKIP,bullish,0.5,0.0,UP,,0.0,292.0
1774416600,71198.01,71088.87,0.800878,0.209012,0.0441,-0.7945,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,292.0
1774417500,71088.87,71056.38,0.249824,-0.642,-0.8577,-0.4933,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,291.0
1774418400,71056.38,71212.51,0.472747,-0.21518,-0.3402,-0.7442,-2,0.55,UP,bearish_fade,0.55,1.0,UP,WIN,1.0,292.0
1774419300,71212.51,71171.0,0.853963,0.853963,-0.4242,-0.1876,1,0.5,SKIP,bullish,0.5,0.0,DOWN,,0.0,292.0
1774420200,71171.0,70974.49,0.321413,-0.453959,-0.2928,-1.5892,-1,0.55,UP,bearish_fade,0.55,1.0,DOWN,LOSS,-1.0,291.0
