ts,close,next_close,close_position,body_signed,volume_z,range_z,streak,p_up,side,confidence,stake,actual,result,pnl,equity
1775061600,68925.73,68845.79,0.657286,0.383423,0.1512,-0.706,2,0.69378,UP,0.69378,0.0,DOWN,,0.0,208.0
1775061900,68845.79,68842.51,0.288138,-0.6553,-0.6966,-0.8493,-1,0.25914,DOWN,0.74086,1.0,DOWN,WIN,1.0,209.0
1775062200,68842.51,68793.42,0.473754,-0.048636,-1.068,-1.8295,-2,0.512145,UP,0.512145,0.0,DOWN,,0.0,209.0
1775062500,68793.42,69060.81,0.042443,-0.621943,-1.9693,-1.4791,-3,0.311209,DOWN,0.688791,0.0,UP,,0.0,209.0
1775062800,69060.81,68882.0,0.740163,0.727592,4.8136,3.5549,1,0.836464,UP,0.836464,3.0,DOWN,LOSS,-3.0,206.0
1775063100,68882.0,68733.57,0.131147,-0.868853,-0.5686,0.6064,-1,0.151658,DOWN,0.848342,3.0,DOWN,WIN,3.0,209.0
1775063400,68733.57,68724.97,0.121897,-0.864876,-0.9436,0.1474,-2,0.189266,DOWN,0.810734,3.0,DOWN,WIN,3.0,212.0
1775063700,68724.97,68555.58,0.21273,-0.121641,-1.4754,-1.276,-3,0.392839,DOWN,0.607161,0.0,DOWN,,0.0,212.0
1775064000,68555.58,68505.88,0.316893,-0.683107,0.1996,1.2581,-4,0.232678,DOWN,0.767322,1.0,DOWN,WIN,1.0,213.0
1775064300,68505.88,68386.99,0.372981,-0.489366,-0.4344,-0.8318,-5,0.354546,DOWN,0.645454,0.0,DOWN,,0.0,213.0
1775064600,68386.99,68427.93,0.13356,-0.734115,-0.2979,-0.0241,-6,0.171235,DOWN,0.828765,3.0,UP,LOSS,-3.0,210.0
1775064900,68427.93,68408.7,0.737732,0.200696,2.3877,0.567,1,0.808603,UP,0.808603,3.0,DOWN,LOSS,-3.0,207.0
1775065200,68408.7,68293.76,0.357915,-0.218846,0.754,-1.113,-1,0.318817,DOWN,0.681183,0.0,DOWN,,0.0,207.0
1775065500,68293.76,68312.2,0.256164,-0.636893,0.2222,0.225,-2,0.19378,DOWN,0.80622,3.0,UP,LOSS,-3.0,204.0
1775065800,68312.2,68243.61,0.789636,0.157944,0.7407,-0.6836,1,0.776323,UP,0.776323,1.0,DOWN,LOSS,-1.0,203.0
1775066100,68243.61,68021.76,0.166249,-0.593288,0.1545,-0.6559,-1,0.152729,DOWN,0.847271,3.0,DOWN,WIN,3.0,206.0
1775066400,68021.76,68016.33,0.286874,-0.625423,4.3165,2.5656,-2,0.167315,DOWN,0.832685,3.0,DOWN,WIN,3.0,209.0
1775066700,68016.33,68062.57,0.523518,-0.06038,0.8694,-0.9862,-3,0.550169,UP,0.550169,0.0,UP,,0.0,209.0
1775067000,68062.57,68041.9,0.346965,0.310502,0.1108,-0.2276,1,0.441999,DOWN,0.558001,0.0,DOWN,,0.0,209.0
1775067300,68041.9,68013.6,0.591773,-0.158342,0.3265,-0.3953,-1,0.552457,UP,0.552457,0.0,DOWN,,0.0,209.0
1775067600,68013.6,68069.3,0.093092,-0.233556,0.7536,-0.4413,-2,0.149771,DOWN,0.850229,3.0,UP,LOSS,-3.0,206.0
1775067900,68069.3,68157.76,0.408388,0.408388,0.0143,-0.2518,1,0.519067,UP,0.519067,0.0,UP,,0.0,206.0
1775068200,68157.76,68165.93,1.0,0.581324,-0.5906,-0.0704,2,0.849421,UP,0.849421,3.0,UP,WIN,3.0,209.0
1775068500,68165.93,68205.13,0.691637,0.055188,0.1652,-0.1772,3,0.625782,UP,0.625782,0.0,UP,,0.0,209.0
1775068800,68205.13,68165.91,0.298575,0.26219,0.4781,-0.2077,4,0.349669,DOWN,0.650331,0.0,DOWN,,0.0,209.0
1775069100,68165.91,68068.3,0.656478,-0.305024,-0.6746,-0.4185,-1,0.553528,UP,0.553528,0.0,DOWN,,0.0,209.0
1775069400,68068.3,68062.09,0.020076,-0.819908,0.4732,-0.5164,-2,0.068549,DOWN,0.931451,5.0,DOWN,WIN,5.0,214.0
1775069700,68062.09,68150.0,0.724194,-0.047802,1.1247,-0.297,-3,0.742854,UP,0.742854,1.0,UP,WIN,1.0,215.0
1775070000,68150.0,68150.11,0.753466,0.677064,-0.2147,-0.3599,1,0.799569,UP,0.799569,1.0,UP,WIN,1.0,216.0
1775070300,68150.11,68038.09,0.101226,0.001284,-0.4367,-1.0792,2,0.219725,DOWN,0.780275,1.0,DOWN,WIN,1.0,217.0
1775070600,68038.09,68079.83,0.025489,-0.974511,0.2445,-0.5282,-1,0.063911,DOWN,0.936089,5.0,UP,LOSS,-5.0,212.0
1775070900,68079.83,68108.14,0.917251,0.479715,-0.3226,-0.9811,1,0.834416,UP,0.834416,3.0,UP,WIN,3.0,215.0
1775071200,68108.14,68250.01,0.958133,0.504365,-0.5978,-1.4427,2,0.823885,UP,0.823885,3.0,UP,WIN,3.0,218.0
1775071500,68250.01,68105.55,1.0,1.0,0.0724,0.1238,3,0.928464,UP,0.928464,5.0,DOWN,LOSS,-5.0,213.0
1775071800,68105.55,68163.21,0.285684,-0.614044,0.0166,1.814,-1,0.235557,DOWN,0.764443,1.0,UP,LOSS,-1.0,212.0
1775072100,68163.21,68141.58,0.774423,0.431975,-1.1289,-0.0873,1,0.701155,UP,0.701155,1.0,DOWN,LOSS,-1.0,211.0
1775072400,68141.58,68250.24,0.058209,-0.226042,-0.761,-0.7289,-1,0.225463,DOWN,0.774537,1.0,UP,LOSS,-1.0,210.0
1775072700,68250.24,68160.51,0.771962,0.682795,-0.4087,0.9157,1,0.795557,UP,0.795557,1.0,DOWN,LOSS,-1.0,209.0
1775073000,68160.51,68162.03,0.387252,-0.532049,-1.1907,1.0984,-1,0.364498,DOWN,0.635502,0.0,UP,,0.0,209.0
1775073300,68162.03,68040.8,0.43494,0.017154,3.1833,-1.1876,1,0.407616,DOWN,0.592384,0.0,DOWN,,0.0,209.0
1775073600,68040.8,68074.24,0.250783,-0.643164,0.4631,1.6062,-1,0.170928,DOWN,0.829072,3.0,UP,LOSS,-3.0,206.0
1775073900,68074.24,68071.9,0.329556,0.329556,-2.2161,-0.7909,1,0.459417,DOWN,0.540583,0.0,DOWN,,0.0,206.0
1775074200,68071.9,68060.0,0.118722,-0.023365,-1.1635,-0.769,-1,0.317171,DOWN,0.682829,0.0,DOWN,,0.0,206.0
1775074500,68060.0,68097.93,0.447745,-0.131885,-0.7021,-0.9484,-2,0.473449,DOWN,0.526551,0.0,UP,,0.0,206.0
1775074800,68097.93,68045.96,0.568645,0.240749,-0.8312,0.8003,1,0.57282,UP,0.57282,0.0,DOWN,,0.0,206.0
1775075100,68045.96,68043.52,0.2418,-0.484253,-1.6792,-0.4486,-1,0.342762,DOWN,0.657238,0.0,DOWN,,0.0,206.0
1775075400,68043.52,68136.05,0.753811,-0.019891,-1.4278,-0.0453,-2,0.651511,UP,0.651511,0.0,UP,,0.0,206.0
1775075700,68136.05,68164.48,0.81533,0.815242,-1.7389,-0.274,1,0.713832,UP,0.713832,1.0,UP,WIN,1.0,207.0
1775076000,68164.48,68179.49,0.856472,0.351465,-1.597,-1.0501,2,0.670596,UP,0.670596,0.0,UP,,0.0,207.0
