entry_ts,entry_close,side,confidence,stake,market_slug,token_id,fill_price,edge,kelly_f,shares,close_position,body_signed,direction,volume_z,range_z,streak,resolve_ts,resolve_close,settled_token_price,result,pnl,resolution_source
1776473400,77172.04,UP,0.55,3.9063,btc-updown-5m-1776473700,98213027444342779850575430160088836332200779455117329451772667634657034563713,0.52,0.03,0.0625,7.512019,0.000988,-0.495184,-1,0.8796,1.088,-1,1776474284,,0.0,LOSS,-3.9063,polymarket
1776474600,77247.07,UP,0.5,12.8968,btc-updown-5m-1776474900,80684496848202747410628034831045163622420230765840584120090897926990877142691,0.37,0.13,0.206349,34.856285,0.999571,0.999571,1,-0.5974,0.244,2,1776475366,,1.0,WIN,21.9595,polymarket
1776474900,77322.38,UP,0.55,15.0,btc-updown-5m-1776475200,82714502421160774061394210300902684607007635460850379665021772982245336484758,0.38,0.17,0.274194,39.473684,0.042982,-0.957018,-1,0.2022,0.393,-1,1776475667,,0.0,LOSS,-15.0,polymarket
1776475200,77355.87,DOWN,0.5,8.6207,btc-updown-5m-1776475500,64919368292375489501278932562743602221957293031868903522492428972978886946939,0.42,0.08,0.137931,20.525452,0.812235,-0.187765,-1,0.4168,1.8597,-2,1776476168,,1.0,WIN,11.9048,polymarket
1776475800,77310.3,UP,0.55,5.102,btc-updown-5m-1776476100,4008593550410489991865091302011609738362508275754080122918321800968983288565,0.51,0.04,0.081633,10.004002,0.160956,-0.838645,-1,-0.2452,0.1307,-1,1776476689,,0.0,LOSS,-5.102,polymarket
1776476100,77283.44,DOWN,0.5,4.6296,btc-updown-5m-1776476400,40890818857113227619062498939891131448778306971775717236829729853774099134602,0.46,0.04,0.074074,10.064412,0.726997,0.725986,1,-0.615,-1.0363,1,1776477030,,1.0,WIN,5.4348,polymarket
1776476400,77269.48,DOWN,0.5,13.6719,btc-updown-5m-1776476700,15139285896362794569501900936514102003990708642811332380065736844401606626775,0.36,0.14,0.21875,37.977431,1.0,1.0,1,-0.8111,-1.6833,2,1776477191,,1.0,WIN,24.3056,polymarket
1776476700,77270.02,DOWN,0.5,9.5339,btc-updown-5m-1776477000,81493051251821064896427318892896464040182590470233261523747434033228508733001,0.41,0.09,0.152542,23.253411,0.78502,0.78502,1,4.0271,1.8557,3,1776477491,,0.0,LOSS,-9.5339,polymarket
1776477300,77213.93,UP,0.55,15.0,btc-updown-5m-1776477600,596613085936912126298768784370012650816630422531663094517874394742731883115,0.39,0.16,0.262295,38.461538,0.0,-0.923077,-1,-0.6391,-1.4507,-1,1776478012,,0.0,LOSS,-15.0,polymarket
1776478800,77390.98,UP,0.5,15.0,btc-updown-5m-1776479100,106581380437940199434946321764764325728804861706083446225457508682904260181206,0.34,0.16,0.242424,44.117647,0.118526,0.118526,1,1.7603,-0.4095,2,1776479695,,0.0,LOSS,-15.0,polymarket
